strategy,seed,channel,first_seen_time_s,directional
sequential_triangle_clear_19,200,1,5.0,False
sequential_triangle_clear_19,200,7,41.0,False
sequential_triangle_clear_19,200,8,47.0,False
sequential_triangle_clear_19,200,15,89.0,False
sequential_triangle_clear_19,200,16,95.0,False
sequential_triangle_clear_19,200,19,113.0,False
sequential_triangle_clear_19,200,5,622.0,False
sequential_triangle_clear_19,200,12,1788.9130897578973,False
sequential_triangle_clear_19,200,3,1830.9130897578973,False
sequential_triangle_clear_19,200,9,2154.7976624390976,False
sequential_triangle_clear_19,201,1,5.0,False
sequential_triangle_clear_19,201,10,59.0,False
sequential_triangle_clear_19,201,20,119.0,False
sequential_triangle_clear_19,201,16,328.0,False
sequential_triangle_clear_19,201,14,340.0,False
sequential_triangle_clear_19,201,11,658.0,False
sequential_triangle_clear_19,201,19,706.0,False
sequential_triangle_clear_19,201,8,1238.1176179958134,False
sequential_triangle_clear_19,201,12,1767.2352359916265,False
sequential_triangle_clear_19,201,13,2274.35285398744,False
sequential_triangle_clear_19,202,6,35.0,False
sequential_triangle_clear_19,202,7,41.0,False
sequential_triangle_clear_19,202,15,89.0,False
sequential_triangle_clear_19,202,16,95.0,False
sequential_triangle_clear_19,202,18,107.0,False
sequential_triangle_clear_19,202,19,113.0,False
sequential_triangle_clear_19,202,20,119.0,False
sequential_triangle_clear_19,202,11,358.0,False
sequential_triangle_clear_19,202,4,400.0,False
sequential_triangle_clear_19,202,1,603.0,False
sequential_triangle_clear_19,202,12,663.0,False
sequential_triangle_clear_19,202,17,693.0,False
sequential_triangle_clear_19,202,14,1804.844017010078,False
sequential_triangle_clear_19,202,2,1846.844017010078,False
sequential_triangle_clear_19,202,13,2309.9616350058923,False
sequential_triangle_clear_19,202,8,2327.9616350058923,False
sequential_triangle_clear_19,203,1,5.0,False
sequential_triangle_clear_19,203,2,11.0,False
sequential_triangle_clear_19,203,7,41.0,False
sequential_triangle_clear_19,203,9,53.0,False
sequential_triangle_clear_19,203,10,59.0,False
sequential_triangle_clear_19,203,12,71.0,False
sequential_triangle_clear_19,203,14,83.0,False
sequential_triangle_clear_19,203,17,101.0,False
sequential_triangle_clear_19,203,16,328.0,False
sequential_triangle_clear_19,203,4,621.0,False
sequential_triangle_clear_19,204,3,17.0,False
sequential_triangle_clear_19,204,5,29.0,False
sequential_triangle_clear_19,204,6,35.0,False
sequential_triangle_clear_19,204,7,41.0,False
sequential_triangle_clear_19,204,14,83.0,False
sequential_triangle_clear_19,204,10,364.0,False
sequential_triangle_clear_19,204,2,412.0,False
sequential_triangle_clear_19,204,20,1507.2161118424726,False
sequential_triangle_clear_19,204,18,1775.1006845236716,False
sequential_triangle_clear_19,204,16,1787.1006845236716,False
sequential_triangle_clear_19,204,8,1829.1006845236716,False
sequential_triangle_clear_19,204,19,2879.4473281531064,False
sequential_triangle_clear_19,204,13,2897.4473281531064,False
