strategy,seed,channel,first_seen_time_s,directional
deferred,10000,4,23.0,True
deferred,10000,9,53.0,True
deferred,10000,6,275.0,True
deferred,10000,2,491.0,True
deferred,10000,7,1697.0,True
deferred,10000,10,2651.0,True
deferred,10000,17,3143.0,True
deferred,10000,13,3341.0,True
deferred,10000,14,3779.0,True
deferred,10000,19,3809.0,True
deferred,10000,3,5333.0,True
deferred,10000,1,6971.0,True
deferred,10000,16,7373.0,True
deferred,10000,5,7691.0,True
deferred,10001,1,5.0,True
deferred,10001,9,53.0,True
deferred,10001,18,107.0,True
deferred,10001,4,263.0,True
deferred,10001,16,2735.0,True
deferred,10001,3,3827.0,True
deferred,10001,20,4157.0,True
deferred,10001,17,5057.0,True
deferred,10001,2,5651.0,True
deferred,10001,5,5663.0,True
deferred,10001,8,5903.0,True
deferred,10001,14,7193.0,True
deferred,10002,11,65.0,True
deferred,10002,19,113.0,True
deferred,10002,4,263.0,True
deferred,10002,3,731.0,True
deferred,10002,1,3293.0,True
deferred,10002,8,3569.0,True
deferred,10002,13,5573.0,True
deferred,10002,9,5765.0,True
deferred,10002,17,6017.0,True
deferred,10002,5,6371.0,True
deferred,10002,6,6779.0,True
deferred,10002,12,7001.0,True
deferred,10002,2,8795.0,True
deferred,10003,5,29.0,True
deferred,10003,6,35.0,True
deferred,10003,2,251.0,True
deferred,10003,8,287.0,True
deferred,10003,17,341.0,True
deferred,10003,9,1901.0,True
deferred,10003,1,2315.0,True
deferred,10003,15,2807.0,True
deferred,10003,3,5177.0,True
deferred,10003,13,5213.0,True
deferred,10003,14,5219.0,True
deferred,10003,18,5231.0,True
deferred,10003,19,5237.0,True
deferred,10003,20,5243.0,True
deferred,10003,7,5387.0,True
deferred,10003,16,6005.0,True
deferred,10004,1,5.0,True
deferred,10004,3,17.0,True
deferred,10004,6,35.0,True
deferred,10004,8,47.0,True
deferred,10004,9,53.0,True
deferred,10004,12,71.0,True
deferred,10004,19,353.0,True
deferred,10004,14,557.0,True
deferred,10004,5,743.0,True
deferred,10004,2,1403.0,True
deferred,10004,13,2339.0,True
deferred,10004,16,4655.0,True
deferred,10004,10,5183.0,True
deferred,10004,17,5747.0,True
deferred,10005,2,11.0,True
deferred,10005,7,41.0,True
deferred,10005,10,59.0,True
deferred,10005,14,83.0,True
deferred,10005,15,89.0,True
deferred,10005,16,95.0,True
deferred,10005,17,101.0,True
deferred,10005,9,293.0,True
deferred,10005,18,347.0,True
deferred,10005,8,2675.0,True
deferred,10005,1,3755.0,True
deferred,10005,12,4019.0,True
deferred,10005,4,4823.0,True
deferred,10005,6,5045.0,True
deferred,10005,3,5441.0,True
deferred,10005,19,5501.0,True
deferred,10006,6,35.0,True
deferred,10006,18,107.0,True
deferred,10006,7,1721.0,True
deferred,10006,1,1925.0,True
deferred,10006,19,2513.0,True
deferred,10006,3,3137.0,True
deferred,10006,17,3455.0,True
deferred,10006,5,5837.0,True
deferred,10006,20,6293.0,True
deferred,10006,16,7655.0,True
deferred,10006,2,7781.0,True
deferred,10007,3,17.0,True
deferred,10007,5,29.0,True
deferred,10007,9,53.0,True
deferred,10007,16,95.0,True
deferred,10007,18,107.0,True
deferred,10007,10,1691.0,True
deferred,10007,6,4769.0,True
deferred,10007,7,4991.0,True
deferred,10007,19,5051.0,True
deferred,10007,8,5429.0,True
deferred,10007,4,6665.0,True
deferred,10007,11,7505.0,True
deferred,10008,2,11.0,True
deferred,10008,3,17.0,True
deferred,10008,11,65.0,True
deferred,10008,16,95.0,True
deferred,10008,20,119.0,True
deferred,10008,9,293.0,True
deferred,10008,10,539.0,True
deferred,10008,15,1271.0,True
deferred,10008,19,2465.0,True
deferred,10008,12,4925.0,True
deferred,10008,18,4955.0,True
deferred,10009,1,5.0,True
deferred,10009,7,41.0,True
deferred,10009,8,47.0,True
deferred,10009,18,107.0,True
deferred,10009,12,311.0,True
deferred,10009,10,1739.0,True
deferred,10009,20,1799.0,True
deferred,10009,4,2183.0,True
deferred,10009,14,3185.0,True
deferred,10009,16,3641.0,True
deferred,10009,5,5093.0,True
deferred,10009,17,9053.0,True
deferred,10010,12,71.0,True
deferred,10010,19,113.0,True
deferred,10010,4,503.0,True
deferred,10010,7,521.0,True
deferred,10010,9,533.0,True
deferred,10010,15,1769.0,True
deferred,10010,16,3191.0,True
deferred,10010,8,3845.0,True
deferred,10010,10,3857.0,True
deferred,10010,18,3893.0,True
deferred,10010,1,4943.0,True
deferred,10010,11,5003.0,True
deferred,10010,20,5045.0,True
deferred,10010,13,7925.0,True
deferred,10011,9,53.0,True
deferred,10011,6,275.0,True
deferred,10011,14,323.0,True
deferred,10011,18,3839.0,True
deferred,10011,10,5135.0,True
deferred,10011,11,5141.0,True
deferred,10011,12,5147.0,True
deferred,10011,1,5759.0,True
deferred,10011,7,5789.0,True
deferred,10011,17,6065.0,True
deferred,10011,3,7667.0,True
deferred,10012,12,71.0,True
deferred,10012,17,101.0,True
deferred,10012,3,497.0,True
deferred,10012,6,2669.0,True
deferred,10012,1,3341.0,True
deferred,10012,13,3869.0,True
deferred,10012,7,5159.0,True
deferred,10012,14,6047.0,True
deferred,10012,2,7025.0,True
deferred,10012,15,7079.0,True
deferred,10012,11,7679.0,True
deferred,10012,18,7703.0,True
deferred,10012,4,8759.0,True
deferred,10013,5,29.0,True
deferred,10013,8,47.0,True
deferred,10013,17,101.0,True
deferred,10013,4,263.0,True
deferred,10013,19,593.0,True
deferred,10013,6,995.0,True
deferred,10013,16,4451.0,True
deferred,10013,13,5465.0,True
deferred,10013,7,5639.0,True
deferred,10013,2,6845.0,True
deferred,10013,9,7685.0,True
deferred,10013,11,8075.0,True
deferred,10014,2,11.0,True
deferred,10014,9,53.0,True
deferred,10014,19,113.0,True
deferred,10014,13,317.0,True
deferred,10014,3,737.0,True
deferred,10014,7,761.0,True
deferred,10014,10,1019.0,True
deferred,10014,15,1985.0,True
deferred,10014,14,2429.0,True
deferred,10014,18,4547.0,True
deferred,10014,20,4751.0,True
deferred,10014,8,6035.0,True
deferred,10014,4,6707.0,True
deferred,10015,5,29.0,True
deferred,10015,8,47.0,True
deferred,10015,13,77.0,True
deferred,10015,16,95.0,True
deferred,10015,17,101.0,True
deferred,10015,18,107.0,True
deferred,10015,10,299.0,True
deferred,10015,2,1691.0,True
deferred,10015,4,3125.0,True
deferred,10015,3,5375.0,True
deferred,10015,11,8981.0,True
deferred,10016,19,113.0,True
deferred,10016,10,299.0,True
deferred,10016,5,749.0,True
deferred,10016,11,785.0,True
deferred,10016,12,791.0,True
deferred,10016,3,2381.0,True
deferred,10016,18,2897.0,True
deferred,10016,14,3743.0,True
deferred,10016,2,3905.0,True
deferred,10016,20,4823.0,True
deferred,10016,6,5177.0,True
deferred,10016,15,5429.0,True
deferred,10016,16,6449.0,True
deferred,10017,4,23.0,True
deferred,10017,12,71.0,True
deferred,10017,18,107.0,True
deferred,10017,13,557.0,True
deferred,10017,10,1739.0,True
