strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,20000,13,0,13,1.0,True,921.3221218528682,11977.187584087287,8751.187584087289,43755.937920436445,2635.0,527,526,13,13,13,0,0,1070.2307692307693,5303.0,0.033865836001496064
deferred,20001,12,0,12,1.0,True,1029.0345390626874,12348.414468752248,8353.41446875225,41767.07234376123,3280.0,656,655,12,12,12,0,0,2487.0,5585.0,0.024985430998640368
deferred,20002,12,0,12,1.0,True,1032.607971027963,12391.295652335557,8450.295652335557,42251.47826167779,3235.0,647,646,12,12,12,0,0,2854.5,5759.0,0.031647995001549134
deferred,20003,16,0,16,1.0,True,562.3206144890684,8997.129831825094,6602.129831825092,33010.64915912546,1930.0,386,385,16,16,16,0,0,1539.875,6185.0,0.030351973997312598
deferred,20004,10,0,10,1.0,True,1181.5692173252235,11815.692173252235,7962.692173252234,39813.46086626117,3170.0,634,633,10,10,10,0,0,728.6,4727.0,0.0241610250013764
deferred,20005,15,0,15,1.0,True,782.4090546638866,11736.1358199583,8548.135819958294,42740.67909979146,2595.0,519,518,15,15,15,0,0,1568.2,6581.0,0.035016554000321776
deferred,20006,16,0,16,1.0,True,604.8600740905074,9677.761185448118,7234.761185448119,36173.80592724061,1970.0,394,393,16,16,16,0,0,1283.75,4643.0,0.034940035999170505
deferred,20007,11,0,11,1.0,True,1130.217256066402,12432.38981673042,8232.389816730421,41161.949083652114,3455.0,691,690,11,11,11,0,0,2202.090909090909,5489.0,0.030404095999983838
deferred,20008,13,0,13,1.0,True,898.1515396748831,11675.97001577348,8149.970015773483,40749.850078867414,2885.0,577,576,13,13,13,0,0,1596.8461538461538,5075.0,0.028593211001862073
deferred,20009,12,0,12,1.0,True,955.3844782947635,11464.613739537162,8135.613739537162,40678.06869768582,2725.0,545,544,12,12,12,0,0,1246.0,5093.0,0.02004518499961705
deferred,20010,15,0,15,1.0,True,790.8569765805094,11862.85464870764,8620.854648707642,43104.27324353823,2640.0,528,527,15,15,15,0,0,1491.4,5339.0,0.034610631002578884
deferred,20011,10,0,10,1.0,True,1237.2786352411936,12372.786352411935,8327.786352411933,41638.93176205966,3330.0,666,665,10,10,10,0,0,1511.0,5201.0,0.027173490001587197
