strategy,seed,channel,first_seen_time_s,directional
deferred,20000,6,35.0,False
deferred,20000,7,41.0,False
deferred,20000,8,47.0,False
deferred,20000,12,71.0,False
deferred,20000,13,77.0,False
deferred,20000,15,89.0,False
deferred,20000,16,95.0,False
deferred,20000,10,299.0,False
deferred,20000,19,353.0,False
deferred,20000,18,1703.0,False
deferred,20000,11,2315.0,False
deferred,20000,5,3485.0,False
deferred,20000,2,5303.0,False
deferred,20001,5,29.0,False
deferred,20001,10,59.0,False
deferred,20001,11,65.0,False
deferred,20001,14,323.0,False
deferred,20001,16,335.0,False
deferred,20001,18,1775.0,False
deferred,20001,6,3707.0,False
deferred,20001,7,3713.0,False
deferred,20001,15,3755.0,False
deferred,20001,20,5057.0,False
deferred,20001,19,5441.0,False
deferred,20001,3,5585.0,False
deferred,20002,11,65.0,False
deferred,20002,19,113.0,False
deferred,20002,20,119.0,False
deferred,20002,13,1757.0,False
deferred,20002,7,2909.0,False
deferred,20002,15,2945.0,False
deferred,20002,18,3191.0,False
deferred,20002,3,3779.0,False
deferred,20002,8,3809.0,False
deferred,20002,5,4793.0,False
deferred,20002,12,5015.0,False
deferred,20002,9,5759.0,False
deferred,20003,1,5.0,False
deferred,20003,2,11.0,False
deferred,20003,6,35.0,False
deferred,20003,8,47.0,False
deferred,20003,11,65.0,False
deferred,20003,13,77.0,False
deferred,20003,14,83.0,False
deferred,20003,20,119.0,False
deferred,20003,4,263.0,False
deferred,20003,15,329.0,False
deferred,20003,9,1571.0,False
deferred,20003,19,2987.0,False
deferred,20003,5,3317.0,False
deferred,20003,16,4445.0,False
deferred,20003,10,5099.0,False
deferred,20003,18,6185.0,False
deferred,20004,5,29.0,False
deferred,20004,6,35.0,False
deferred,20004,7,41.0,False
deferred,20004,9,53.0,False
deferred,20004,18,107.0,False
deferred,20004,19,113.0,False
deferred,20004,1,245.0,False
deferred,20004,3,257.0,False
deferred,20004,16,1679.0,False
deferred,20004,10,4727.0,False
deferred,20005,1,5.0,False
deferred,20005,2,11.0,False
deferred,20005,5,29.0,False
deferred,20005,7,41.0,False
deferred,20005,12,71.0,False
deferred,20005,15,89.0,False
deferred,20005,20,119.0,False
deferred,20005,9,293.0,False
deferred,20005,8,527.0,False
deferred,20005,18,1697.0,False
deferred,20005,16,2339.0,False
deferred,20005,4,3497.0,False
deferred,20005,10,3527.0,False
deferred,20005,17,4697.0,False
deferred,20005,14,6581.0,False
deferred,20006,2,11.0,False
deferred,20006,8,47.0,False
deferred,20006,11,65.0,False
deferred,20006,13,77.0,False
deferred,20006,17,101.0,False
deferred,20006,20,119.0,False
deferred,20006,1,245.0,False
deferred,20006,5,269.0,False
deferred,20006,7,281.0,False
deferred,20006,12,311.0,False
deferred,20006,9,1625.0,False
deferred,20006,16,1649.0,False
deferred,20006,10,2783.0,False
deferred,20006,6,4145.0,False
deferred,20006,18,4169.0,False
deferred,20006,4,4643.0,False
deferred,20007,1,5.0,False
deferred,20007,5,29.0,False
deferred,20007,6,35.0,False
deferred,20007,11,65.0,False
deferred,20007,18,107.0,False
deferred,20007,10,1019.0,False
deferred,20007,13,1757.0,False
deferred,20007,2,4805.0,False
deferred,20007,4,5441.0,False
deferred,20007,12,5471.0,False
deferred,20007,16,5489.0,False
deferred,20008,13,77.0,False
deferred,20008,14,83.0,False
deferred,20008,15,89.0,False
deferred,20008,16,95.0,False
deferred,20008,17,101.0,False
deferred,20008,20,119.0,False
deferred,20008,5,269.0,False
deferred,20008,11,545.0,False
deferred,20008,19,1679.0,False
deferred,20008,1,2849.0,False
deferred,20008,18,4727.0,False
deferred,20008,2,5051.0,False
deferred,20008,7,5075.0,False
deferred,20009,2,11.0,False
deferred,20009,4,23.0,False
deferred,20009,5,29.0,False
deferred,20009,6,35.0,False
deferred,20009,11,65.0,False
deferred,20009,18,107.0,False
deferred,20009,9,293.0,False
deferred,20009,19,353.0,False
deferred,20009,7,2825.0,False
deferred,20009,14,2861.0,False
deferred,20009,12,3257.0,False
deferred,20009,13,5093.0,False
deferred,20010,1,5.0,False
deferred,20010,3,17.0,False
deferred,20010,6,35.0,False
deferred,20010,7,41.0,False
deferred,20010,10,59.0,False
deferred,20010,16,95.0,False
deferred,20010,17,101.0,False
deferred,20010,2,251.0,False
deferred,20010,11,539.0,False
deferred,20010,13,1673.0,False
deferred,20010,9,2321.0,False
deferred,20010,4,2519.0,False
deferred,20010,14,4577.0,False
deferred,20010,19,4799.0,False
deferred,20010,18,5339.0,False
deferred,20011,7,41.0,False
deferred,20011,8,47.0,False
deferred,20011,9,53.0,False
deferred,20011,12,71.0,False
deferred,20011,18,107.0,False
deferred,20011,20,119.0,False
deferred,20011,13,1679.0,False
deferred,20011,19,3017.0,False
deferred,20011,3,4775.0,False
deferred,20011,10,5201.0,False
deferred,20012,2,11.0,False
deferred,20012,4,23.0,False
deferred,20012,11,65.0,False
deferred,20012,15,89.0,False
deferred,20012,13,317.0,False
deferred,20012,19,353.0,False
deferred,20012,20,359.0,False
deferred,20012,12,3713.0,False
deferred,20012,1,4715.0,False
deferred,20012,18,5621.0,False
deferred,20012,16,5813.0,False
deferred,20013,4,23.0,False
deferred,20013,5,29.0,False
deferred,20013,6,35.0,False
deferred,20013,7,41.0,False
deferred,20013,12,71.0,False
deferred,20013,13,77.0,False
deferred,20013,14,83.0,False
deferred,20013,15,89.0,False
deferred,20013,17,101.0,False
deferred,20013,18,107.0,False
deferred,20013,11,305.0,False
deferred,20013,9,3173.0,False
deferred,20013,1,4769.0,False
deferred,20013,3,4781.0,False
deferred,20013,20,5201.0,False
deferred,20014,1,5.0,False
deferred,20014,3,17.0,False
deferred,20014,4,23.0,False
deferred,20014,8,47.0,False
deferred,20014,12,71.0,False
deferred,20014,14,83.0,False
deferred,20014,15,89.0,False
deferred,20014,16,95.0,False
deferred,20014,17,101.0,False
deferred,20014,19,113.0,False
deferred,20014,6,275.0,False
deferred,20014,18,347.0,False
deferred,20014,13,1631.0,False
deferred,20014,9,3389.0,False
deferred,20014,2,4763.0,False
deferred,20015,2,11.0,False
deferred,20015,4,23.0,False
deferred,20015,8,47.0,False
deferred,20015,9,53.0,False
deferred,20015,12,71.0,False
deferred,20015,17,101.0,False
deferred,20015,5,269.0,False
deferred,20015,14,323.0,False
deferred,20015,19,1049.0,False
deferred,20015,13,3653.0,False
deferred,20015,18,4931.0,False
deferred,20015,20,5333.0,False
deferred,20016,1,5.0,False
deferred,20016,3,17.0,False
deferred,20016,5,29.0,False
deferred,20016,9,53.0,False
deferred,20016,10,59.0,False
deferred,20016,11,65.0,False
deferred,20016,14,83.0,False
deferred,20016,4,263.0,False
deferred,20016,12,551.0,False
deferred,20016,16,3149.0,False
deferred,20016,17,3155.0,False
deferred,20016,2,3509.0,False
deferred,20016,8,4637.0,False
deferred,20016,13,4997.0,False
deferred,20017,8,47.0,False
deferred,20017,9,53.0,False
deferred,20017,13,77.0,False
deferred,20017,14,83.0,False
deferred,20017,20,119.0,False
deferred,20017,1,245.0,False
deferred,20017,6,275.0,False
deferred,20017,4,503.0,False
deferred,20017,12,2345.0,False
deferred,20017,10,3599.0,False
deferred,20017,17,3623.0,False
deferred,20017,7,4781.0,False
deferred,20017,11,5153.0,False
deferred,20017,16,5165.0,False
deferred,20018,3,17.0,False
deferred,20018,4,23.0,False
deferred,20018,6,35.0,False
deferred,20018,9,53.0,False
deferred,20018,16,95.0,False
deferred,20018,17,101.0,False
deferred,20018,18,107.0,False
deferred,20018,20,119.0,False
deferred,20018,2,251.0,False
deferred,20018,7,281.0,False
deferred,20018,8,287.0,False
deferred,20018,5,1589.0,False
deferred,20018,1,4385.0,False
deferred,20018,14,4415.0,False
deferred,20018,10,4739.0,False
deferred,20018,15,4931.0,False
deferred,20019,1,5.0,False
deferred,20019,2,11.0,False
deferred,20019,3,17.0,False
deferred,20019,9,53.0,False
deferred,20019,11,65.0,False
deferred,20019,18,107.0,False
deferred,20019,20,119.0,False
deferred,20019,8,1199.0,False
deferred,20019,13,2957.0,False
deferred,20019,16,3605.0,False
deferred,20019,15,4541.0,False
deferred,20019,6,5231.0,False
deferred,20020,4,23.0,False
deferred,20020,6,35.0,False
deferred,20020,7,41.0,False
deferred,20020,14,83.0,False
deferred,20020,17,101.0,False
deferred,20020,18,107.0,False
deferred,20020,11,305.0,False
deferred,20020,13,1673.0,False
deferred,20020,15,2543.0,False
deferred,20020,19,2555.0,False
deferred,20020,5,3131.0,False
deferred,20020,3,4655.0,False
deferred,20020,12,5063.0,False
deferred,20021,1,5.0,False
deferred,20021,3,17.0,False
deferred,20021,7,41.0,False
deferred,20021,9,53.0,False
deferred,20021,10,59.0,False
deferred,20021,13,77.0,False
deferred,20021,6,4901.0,False
deferred,20021,16,4937.0,False
deferred,20021,18,4949.0,False
